1	 55	 40	 30	 5/5	60
2	 64	 47	 35	 1/6	67
3	 75	 54	 41	 0/6	75
4	 88	 63	 47	 1/7	83
5	 103	 74	 55	 0/7	93
6	 121	 86	 64	 1/8	103
7	 141	 100	 75	 1/9	115
8	 165	 117	 87	 1/10	129
9	 193	 136	 102	 1/11	143
10	 226	 158	 119	 1/12	160
11	 264	 184	 138	 1/13	178
12	 309	 215	 161	 1/14	199
13	 362	 250	 188	 2/16	221
14	 423	 291	 218	 1/17	247
15	 495	 339	 254	 2/19	275
16	 580	 395	 296	 2/21	307
17	 678	 461	 345	 2/23	342
18	 793	 537	 402	 2/25	381
19	 928	 625	 469	 3/28	425
20	 1086	 728	 546	 3/31	474
21	 1271	 848	 636	 3/34	529
22	 1487	 988	 741	 3/37	589
23	 1740	 1151	 864	 4/41	657
24	 2035	 1341	 1006	 4/45	733
25	 2381	 1563	 1172	 4/49	817
26	 2786	 1821	 1365	 5/54	911
27	 3260	 2121	 1591	 6/60	1015
28	 3814	 2471	 1853	 6/66	1132
29	 4462	 2879	 2159	 6/72	1262
30	 5221	 3354	 2515	 7/79	1407
31	 6109	 3907	 2930	 8/87	1569
32	 7147	 4552	 3414	 9/96	1750
33	 8362	 5303	 3977	 10/106	1951
34	 9784	 6178	 4633	 10/116	2175
35	 11447	 7197	 5398	 12/128	2425
36	 13393	 8384	 6288	 13/141	2703
37	 15669	 9768	 7326	 14/155	3014
38	 18333	 11379	 8535	 15/170	3361
39	 21450	 13257	 9943	 17/187	3747
40	 25096	 15444	 11583	 19/206	4178
41	 29363	 17993	 13495	 20/226	4658
42	 34354	 20962	 15721	 23/249	5193
43	 40195	 24420	 18315	 25/274	5790
44	 47028	 28450	 21337	 27/301	6455
45	 55023	 33144	 24858	 30/331	7197
46	 64376	 38612	 28959	 33/364	8025
47	 75320	 44983	 33738	 37/401	8947
48	 88125	 52406	 39304	 40/441	9975
49	 103106	 61053	 45789	 44/485	11122
50	 120634	 71126	 53345	 49/534	12400
