1	 40	 30	 55	 5/5	60
2	 47	 35	 64	 1/6	67
3	 55	 41	 75	 0/6	75
4	 64	 47	 87	 1/7	83
5	 75	 55	 101	 0/7	93
6	 88	 64	 118	 1/8	103
7	 103	 75	 138	 1/9	115
8	 120	 87	 160	 1/10	129
9	 140	 102	 187	 1/11	143
10	 164	 119	 217	 1/12	160
11	 192	 138	 253	 1/13	178
12	 225	 161	 295	 1/14	199
13	 263	 188	 344	 2/16	221
14	 308	 218	 400	 1/17	247
15	 360	 254	 467	 2/19	275
16	 422	 296	 544	 2/21	307
17	 493	 345	 633	 2/23	342
18	 577	 402	 738	 2/25	381
19	 675	 469	 859	 3/28	425
20	 790	 546	 1001	 3/31	474
21	 924	 636	 1166	 3/34	529
22	 1081	 741	 1359	 3/37	589
23	 1265	 864	 1583	 4/41	657
24	 1480	 1006	 1844	 4/45	733
25	 1732	 1172	 2149	 4/49	817
26	 2026	 1365	 2503	 5/54	911
27	 2371	 1591	 2916	 6/60	1015
28	 2774	 1853	 3398	 6/66	1132
29	 3245	 2159	 3958	 6/72	1262
30	 3797	 2515	 4611	 7/79	1407
31	 4443	 2930	 5372	 8/87	1569
32	 5198	 3414	 6258	 9/96	1750
33	 6081	 3977	 7291	 10/106	1951
34	 7115	 4633	 8494	 10/116	2175
35	 8325	 5398	 9896	 12/128	2425
36	 9740	 6288	 11528	 13/141	2703
37	 11396	 7326	 13431	 14/155	3014
38	 13333	 8535	 15647	 15/170	3361
39	 15600	 9943	 18228	 17/187	3747
40	 18252	 11583	 21236	 19/206	4178
41	 21355	 13495	 24740	 20/226	4658
42	 24985	 15721	 28822	 23/249	5193
43	 29233	 18315	 33578	 25/274	5790
44	 34202	 21337	 39118	 27/301	6455
45	 40016	 24858	 45573	 30/331	7197
46	 46819	 28959	 53092	 33/364	8025
47	 54778	 33738	 61852	 37/401	8947
48	 64091	 39304	 72058	 40/441	9975
49	 74986	 45789	 83947	 44/485	11122
50	 87734	 53345	 97799	 49/534	12400
