1	 55	 30	 40	 5/5	60
2	 64	 35	 47	 1/6	67
3	 75	 41	 54	 0/6	75
4	 88	 47	 63	 1/7	83
5	 103	 55	 74	 0/7	93
6	 121	 64	 86	 1/8	103
7	 141	 75	 100	 1/9	115
8	 165	 87	 117	 1/10	129
9	 193	 102	 136	 1/11	143
10	 226	 119	 158	 1/12	160
11	 264	 138	 184	 1/13	178
12	 309	 161	 215	 1/14	199
13	 362	 188	 250	 2/16	221
14	 423	 218	 291	 1/17	247
15	 495	 254	 339	 2/19	275
16	 580	 296	 395	 2/21	307
17	 678	 345	 461	 2/23	342
18	 793	 402	 537	 2/25	381
19	 928	 469	 625	 3/28	425
20	 1086	 546	 728	 3/31	474
21	 1271	 636	 848	 3/34	529
22	 1487	 741	 988	 3/37	589
23	 1740	 864	 1151	 4/41	657
24	 2035	 1006	 1341	 4/45	733
25	 2381	 1172	 1563	 4/49	817
26	 2786	 1365	 1821	 5/54	911
27	 3260	 1591	 2121	 6/60	1015
28	 3814	 1853	 2471	 6/66	1132
29	 4462	 2159	 2879	 6/72	1262
30	 5221	 2515	 3354	 7/79	1407
31	 6109	 2930	 3907	 8/87	1569
32	 7147	 3414	 4552	 9/96	1750
33	 8362	 3977	 5303	 10/106	1951
34	 9784	 4633	 6178	 10/116	2175
35	 11447	 5398	 7197	 12/128	2425
36	 13393	 6288	 8384	 13/141	2703
37	 15669	 7326	 9768	 14/155	3014
38	 18333	 8535	 11379	 15/170	3361
39	 21450	 9943	 13257	 17/187	3747
40	 25096	 11583	 15444	 19/206	4178
41	 29363	 13495	 17993	 20/226	4658
42	 34354	 15721	 20962	 23/249	5193
43	 40195	 18315	 24420	 25/274	5790
44	 47028	 21337	 28450	 27/301	6455
45	 55023	 24858	 33144	 30/331	7197
46	 64376	 28959	 38612	 33/364	8025
47	 75320	 33738	 44983	 37/401	8947
48	 88125	 39304	 52406	 40/441	9975
49	 103106	 45789	 61053	 44/485	11122
50	 120634	 53345	 71126	 49/534	12400
